"","Property_Rights","Government_Integrity","Judicial_Effectiveness","Tax_Burden","Government_Spending","Fiscal_Health","Business_Freedom","Labor_Freedom","Monetary_Freedom","Trade_Freedom","Investment_Freedom","Financial_Freedom","Cluster","Country","Promedio_10_Años_GDP_PerCap","Promedio_10_Años_Crec_pib","Efectividad.gobierno","Control.corrupcion","Cal.Regulacion","Voz_y_Rendicion_cuentas","Overall_score"
"1",56.8,36.6,50,88.8,69.8,51.7,74.1,51.5,75.7,82.6,70,70,"1","Albania",5421.01495747242,2.9648941950832,0.250855356454849,-0.332218527793884,0.171953663229942,0.168997228145599,64.8
"2",27.5,27.7,28.9,79.4,54.7,13.8,54.4,51.4,71.9,57.4,30,30,"2","Algeria",4819.48660246159,2.19090909090909,-0.670135140419006,-0.589308321475983,-0.948087155818939,-0.979883790016174,43.9
"3",40.4,27.8,25.7,86.5,85.8,91.1,44.6,50.8,60,68.6,30,40,"2","Angola",2805.90561254979,0.50744166535075,-1.00890958309174,-0.60992020368576,-0.761388182640076,-0.737252414226532,54.3
"4",34.5,39.8,55.8,67,54.3,35.7,55.5,53.5,29.4,58.6,55,60,"2","Argentina",12292.2241587048,0.267635562192337,-0.377517342567444,-0.360883951187134,-0.482535392045975,0.533921837806702,49.9
"5",50.3,50,31.6,87.6,75.5,69.1,69.2,58.9,67.5,73.6,75,70,"2","Armenia",4619.1124961639,4.55454545454893,-0.184129968285561,0.0583996474742889,0.047635018825531,0.0767075568437576,64.9
"6",91,85.2,94.4,62.6,48.2,39.9,92.1,65.4,75.6,89.8,80,90,"1","Australia",58695.4489899235,2.46841768229142,1.58987963199615,1.78120493888855,1.94220554828644,1.50660192966461,76.2
"7",96.9,74.8,94.8,45.1,8.6,36.5,81.9,78.9,73.8,79.2,80,70,"1","Austria",49946.9303836011,1.20338803700396,1.32668149471283,1.1336532831192,1.36136972904205,1.41124832630157,68.4
"8",53,24,18.5,87.9,67.6,99.4,69.6,56.1,63.9,69,70,60,"2","Azerbaijan",5761.32540921451,1.62813739262426,-0.0326422192156315,-1.19547140598297,-0.108809567987919,-1.41153395175934,61.6
"9",65.1,38,30.2,99.9,68.7,0,72,56.7,79.5,85.2,85,80,"1","Bahrain",26424.5734159762,2.94403816276236,0.697198748588562,0.177784815430641,1.07798528671265,-1.37783300876617,63.4
"10",36,23,28.8,82.4,94.9,69.1,50.2,47.3,69.5,62,50,40,"2","Bangladesh",1893.79307326156,6.43581806443585,-0.697334110736847,-1.12086641788483,-0.914152979850769,-0.753886342048645,54.4
